iter	Passed	Remaining
1092	10054	8343
1093	10066	8336
1094	10075	8327
1095	10084	8317
1096	10092	8307
1097	10102	8299
1098	10112	8290
1099	10122	8281
1100	10131	8272
1101	10140	8262
1102	10149	8253
1103	10158	8244
1104	10168	8235
1105	10177	8226
1106	10186	8217
1107	10195	8208
1108	10204	8198
1109	10213	8189
1110	10223	8180
1111	10233	8172
1112	10243	8163
1113	10252	8154
1114	10261	8144
1115	10271	8135
1116	10280	8127
1117	10290	8118
1118	10299	8109
1119	10309	8100
1120	10319	8091
1121	10328	8082
1122	10338	8073
1123	10348	8065
1124	10358	8056
1125	10367	8047
1126	10376	8038
1127	10386	8029
1128	10397	8021
1129	10406	8012
1130	10414	8002
1131	10422	7992
1132	10431	7982
1133	10440	7973
1134	10450	7964
1135	10459	7954
1136	10468	7945
1137	10478	7937
1138	10487	7927
1139	10495	7917
1140	10504	7908
1141	10512	7898
1142	10521	7889
1143	10530	7879
1144	10538	7869
1145	10546	7859
1146	10556	7850
1147	10564	7840
1148	10573	7831
1149	10583	7822
1150	10592	7813
1151	10602	7804
1152	10610	7794
1153	10619	7785
1154	10627	7775
1155	10636	7766
1156	10645	7756
1157	10654	7747
1158	10663	7737
1159	10673	7729
1160	10682	7720
1161	10691	7710
1162	10700	7700
1163	10708	7691
1164	10717	7681
1165	10726	7672
1166	10735	7662
1167	10743	7652
1168	10752	7643
1169	10762	7634
1170	10770	7624
1171	10778	7614
1172	10787	7605
1173	10796	7595
1174	10805	7586
1175	10814	7577
1176	10822	7567
1177	10831	7558
1178	10844	7551
1179	10853	7542
1180	10862	7532
1181	10871	7523
1182	10880	7514
1183	10889	7505
1184	10898	7495
1185	10905	7485
1186	10913	7475
1187	10922	7465
1188	10932	7456
1189	10940	7446
1190	10949	7437
1191	10958	7428
1192	10969	7420
1193	10979	7411
1194	10989	7402
1195	10997	7393
1196	11007	7384
1197	11015	7374
1198	11024	7364
1199	11033	7355
1200	11041	7345
1201	11051	7336
1202	11059	7327
1203	11069	7318
1204	11077	7308
1205	11087	7299
1206	11097	7291
1207	11108	7282
1208	11116	7273
1209	11125	7263
1210	11134	7254
1211	11143	7245
1212	11152	7235
1213	11160	7225
1214	11170	7217
1215	11179	7207
1216	11189	7199
1217	11198	7189
1218	11207	7180
1219	11217	7172
1220	11227	7162
1221	11235	7153
1222	11244	7144
1223	11254	7134
1224	11262	7125
1225	11271	7115
1226	11280	7106
1227	11288	7096
1228	11298	7088
1229	11307	7078
1230	11316	7069
1231	11325	7060
1232	11335	7051
1233	11344	7041
1234	11353	7032
1235	11363	7024
1236	11373	7015
1237	11382	7006
1238	11391	6996
1239	11400	6987
1240	11409	6977
1241	11419	6969
1242	11426	6958
1243	11434	6948
1244	11442	6938
